network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.7380392156862745,1.0333333333333334,,0.0,0.0
Brysting_2007,0.97,,0.0,0.0,0.0
Diaz-Perez_2018,1.0769230769230769,,,,
Ding_2023,0.484920634920635,1.1428571428571428,0.0,0.0,0.0
Hori_2014,1.14931669637552,,0.0,0.0,0.0
Koenen_2020,0.4333333333333334,0.72,0.0,0.0,0.0
Lawrence_2016,1.0544444444444445,,,,0.0
Liang_2019,1.0,,0.0,0.0,0.0
Liu_2023,0.8218421052631578,1.05,,,0.0
Marcussen_2011,0.9714285714285715,,,,
Marcussen_2012,1.0298507462686568,,,,
Marcussen_2015,0.9705882352941175,,,,
Popp_2005,0.725,,0.0,0.0,0.0
Ren_2024,0.8716666666666667,,0.0,0.0,0.0
Sessa_2012b,1.08,,,,0.0
Shahrestani_2015,0.5666666666666667,2.0,0.0,0.0,0.0
Soza_2014,1.0,,,,
Wisecaver_2023,0.4,,0.0,0.0,0.0
Wu_2015,0.696965811965812,1.0666666666666667,0.0,0.0,0.0
Zhao_2021,0.175,,0.0,0.0,0.0
