network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8655555555555555,0.9888888888888889,,0.0,0.0,0.0
Brysting_2007,1.0,,,0.02222222222222222,0.0,0.0
Diaz-Perez_2018,0.888888888888889,,,0.0,0.0,0.0
Ding_2023,0.4,0.2,,0.6,0.0,0.0
Hori_2014,0.9828571428571429,,,0.0,0.0,0.014285714285714285
Koenen_2020,0.2,0.8,0.6,0.0,0.0,0.0
Lawrence_2016,0.7875,,,0.0,0.0,0.025
Liang_2019,1.0,,,0.008333333333333333,0.016666666666666666,0.004166666666666667
Liu_2023,0.8333333333333334,0.9833333333333334,,0.0,0.0,0.0
Marcussen_2011,0.96,,,0.0,0.0,0.0
Marcussen_2012,1.0,,,,,
Marcussen_2015,0.9571428571428571,,,,,0.0
Morales-Briones_2021,,,,,,0.078125
Popp_2005,0.16,,0.0,0.0,0.0,0.0
Ren_2024,1.0,,,0.0,0.0,0.0
Sessa_2012b,1.0,,,0.01875,0.00625,0.03676470588235294
Shahrestani_2015,0.8,1.0,0.0,0.0,0.0,0.0
Soza_2014,1.0,,,,,
Wisecaver_2023,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.9801587301587302,0.9854166666666666,,0.0,0.0,0.0
Zhao_2021,0.425,,,,0.0,0.0
