method,metric,network_property,correlation,p_value,significant,n_networks
mpsugar,num_rets_diff,num_reticulations,0.9977200820205695,7.791113452935516e-06,True,6
grampa,num_rets_diff,num_reticulations,0.9976546455682398,2.0218674120661097e-22,True,20
mpsugar,rf_distance,num_reticulations,0.8898749923473517,0.017523504497430786,True,6
grampa,rf_distance,num_reticulations,0.7922886607268644,3.126723967433834e-05,True,20
alloppnet,num_rets_bias,num_polyploids,0.7250108152652635,0.041854022024272894,True,8
alloppnet,edit_distance_multree,num_species,0.7229427771204938,0.04273206266261923,True,8
grampa,edit_distance_multree,num_reticulations,0.711375408866409,0.00043654722518593746,True,20
grampa,num_rets_diff,num_polyploids,0.7026487713599067,0.0005507449146791463,True,20
grampa,edit_distance_multree,num_polyploids,0.6442440437008665,0.0021701441975641176,True,20
grampa,num_rets_diff,num_species,0.6372332306491137,0.0025114364957400186,True,20
grampa,rf_distance,num_polyploids,0.6130882824466406,0.004047860751491431,True,20
polyphest_p90,edit_distance_multree,num_species,0.585441597983476,0.013546932676880586,True,17
grampa,edit_distance_multree,num_species,0.5748998843292834,0.00801006898198106,True,20
grampa,num_rets_diff,max_copies,0.554128527013535,0.011237495818673546,True,20
grampa,rf_distance,max_copies,0.5406305184824886,0.013848702125930815,True,20
grampa,rf_distance,num_species,0.5317827240840718,0.015810814415780305,True,20
grampa,edit_distance_multree,max_copies,0.5219887843494734,0.018236608110401096,True,20
polyphest_p90,edit_distance_multree,max_copies,0.519591160373497,0.03254372365123554,True,17
polyphest_p50,edit_distance_multree,num_species,0.5029629771901765,0.0395987154687269,True,17
polyphest_p50,rf_distance,max_copies,0.4930197803188532,0.044338878248251744,True,17
polyphest_p70,num_rets_bias,num_reticulations,-0.4888325318362148,0.0464583860896844,True,17
grampa,num_rets_bias,max_copies,-0.5568564819851414,0.01076174759098965,True,20
grampa,num_rets_bias,num_species,-0.6416533361711334,0.002291436249563429,True,20
grampa,num_rets_bias,num_polyploids,-0.7000767311623795,0.0005888865915718839,True,20
mpsugar,num_rets_bias,num_reticulations,-0.9972301432695265,1.1497534143377649e-05,True,6
grampa,num_rets_bias,num_reticulations,-0.9993852806395135,1.187615352348641e-27,True,20
mpsugar,edit_distance_multree,num_species,0.7812823777715144,0.06652465640795902,False,6
mpsugar,edit_distance_multree,num_reticulations,0.7491132801431,0.0865202941136068,False,6
mpsugar,rf_distance,num_species,0.7210730774542157,0.10585005307973702,False,6
alloppnet,num_rets_diff,num_polyploids,0.6986958356682192,0.053862052947655045,False,8
mpsugar,num_rets_diff,num_polyploids,0.5896413234954956,0.21804034565107686,False,6
alloppnet,rf_distance,num_species,0.587433198821042,0.12571888509417217,False,8
mpsugar,num_rets_diff,num_species,0.5312630655697221,0.2780773636217589,False,6
alloppnet,edit_distance_multree,num_polyploids,0.48646808165439576,0.2215598919268241,False,8
polyphest_p70,rf_distance,max_copies,0.45602825504818023,0.06579724355766758,False,17
polyphest_p70,edit_distance_multree,num_species,0.4531399349337726,0.06774680009940773,False,17
alloppnet,edit_distance_multree,num_reticulations,0.4138319388159022,0.3081031038280416,False,8
polyphest_p50,edit_distance_multree,num_polyploids,0.4086192930468472,0.10342661424109723,False,17
polyphest_p90,rf_distance,max_copies,0.4022941208784927,0.10940858744593084,False,17
mpsugar,edit_distance_multree,num_polyploids,0.38737075440743,0.4480075409844574,False,6
alloppnet,rf_distance,num_polyploids,0.3744640202032958,0.36075459154331746,False,8
polyphest_p50,edit_distance_multree,max_copies,0.36921534497735337,0.14470773698576456,False,17
polyphest_p70,edit_distance_multree,max_copies,0.36215830975628255,0.1531438237715982,False,17
polyphest_p90,edit_distance_multree,num_polyploids,0.3409635189310003,0.18047319329193473,False,17
polyphest_p90,num_rets_diff,max_copies,0.3234596837210647,0.2053499669707078,False,17
polyphest_p70,edit_distance_multree,num_polyploids,0.32276733552902986,0.20637753730312647,False,17
polyphest_p90,num_rets_bias,max_copies,0.2659360071466538,0.3022160513272408,False,17
mpsugar,rf_distance,num_polyploids,0.25002445796280404,0.6327781062141363,False,6
polyphest_p90,edit_distance_multree,num_reticulations,0.23990492588233822,0.35369028984271755,False,17
alloppnet,rf_distance,num_reticulations,0.22562251826321908,0.5910953160298855,False,8
polyphest_p50,edit_distance_multree,num_reticulations,0.16542102491380012,0.5257597810157163,False,17
polyphest_p50,rf_distance,num_polyploids,0.1242865626572889,0.6345990366363037,False,17
polyphest_p50,rf_distance,num_reticulations,0.10506033208211116,0.6882038983740859,False,17
polyphest_p70,num_rets_diff,max_copies,0.09357280385744562,0.7209356024349035,False,17
polyphest_p50,num_rets_diff,num_polyploids,0.0876567532174429,0.7379768889654429,False,17
polyphest_p50,rf_distance,num_species,0.08493800261812312,0.7458476905049585,False,17
polyphest_p70,edit_distance_multree,num_reticulations,0.06579984274811942,0.8018867124616702,False,17
polyphest_p70,num_rets_bias,max_copies,0.054732644089205654,0.8347333702013175,False,17
polyphest_p90,rf_distance,num_reticulations,0.05171601063536933,0.8437338376381496,False,17
polyphest_p90,rf_distance,num_species,0.048330714513783235,0.8538560182874104,False,17
polyphest_p50,num_rets_diff,max_copies,0.01802798325875417,0.9452487344519156,False,17
polyphest_p70,rf_distance,num_polyploids,0.004647172403621665,0.9858771857722375,False,17
polyphest_p70,rf_distance,num_species,-0.004178403370798049,0.9873016668194676,False,17
polyphest_p70,rf_distance,num_reticulations,-0.010319360976804658,0.9686451021377827,False,17
polyphest_p50,num_rets_bias,max_copies,-0.011966554626541573,0.9636430723394835,False,17
polyphest_p90,rf_distance,num_polyploids,-0.022029161389529872,0.9331203125196611,False,17
polyphest_p90,num_rets_diff,num_polyploids,-0.022903722599373042,0.9304710950232907,False,17
polyphest_p70,num_rets_diff,num_polyploids,-0.04522130429849182,0.8631723574463123,False,17
polyphest_p90,num_rets_diff,num_species,-0.07253709856894118,0.7820400426292643,False,17
polyphest_p50,num_rets_bias,num_polyploids,-0.07330070930871499,0.7797983568876328,False,17
polyphest_p90,num_rets_bias,num_species,-0.12081655144421612,0.6441569402260116,False,17
polyphest_p90,num_rets_diff,num_reticulations,-0.12535447791318352,0.6316684020648169,False,17
alloppnet,num_rets_bias,num_species,-0.20293519004322844,0.6298142224390385,False,8
polyphest_p50,num_rets_diff,num_species,-0.20848891175534248,0.4219587025441379,False,17
polyphest_p70,num_rets_bias,num_polyploids,-0.21814929927392265,0.40026842808056573,False,17
polyphest_p90,num_rets_bias,num_polyploids,-0.22408325962940498,0.3872491665766812,False,17
polyphest_p70,num_rets_diff,num_species,-0.22525021708009824,0.3847163784453135,False,17
polyphest_p50,num_rets_bias,num_species,-0.23775694501249456,0.35814673349580006,False,17
polyphest_p70,num_rets_bias,num_species,-0.2562064152378401,0.32090423214381025,False,17
alloppnet,num_rets_diff,num_species,-0.25911920976124814,0.5354609012301723,False,8
polyphest_p50,num_rets_diff,num_reticulations,-0.28580469520229235,0.2661198734496779,False,17
polyphest_p70,num_rets_diff,num_reticulations,-0.29825215415590856,0.2449262221339863,False,17
polyphest_p90,num_rets_bias,num_reticulations,-0.35975978877839343,0.15608571538198282,False,17
polyphest_p50,num_rets_bias,num_reticulations,-0.4568327944595334,0.06526164193324462,False,17
alloppnet,num_rets_bias,num_reticulations,-0.5220044703460686,0.18450741961334627,False,8
mpsugar,num_rets_bias,num_species,-0.5315085897722648,0.2778130706540686,False,6
alloppnet,num_rets_diff,num_reticulations,-0.5564460390130512,0.1520253189819704,False,8
mpsugar,num_rets_bias,num_polyploids,-0.5619920694370169,0.2457603026663917,False,6
alloppnet,edit_distance_multree,max_copies,,,False,8
alloppnet,rf_distance,max_copies,,,False,8
alloppnet,num_rets_diff,max_copies,,,False,8
alloppnet,num_rets_bias,max_copies,,,False,8
mpsugar,edit_distance_multree,max_copies,,,False,6
mpsugar,rf_distance,max_copies,,,False,6
mpsugar,num_rets_diff,max_copies,,,False,6
mpsugar,num_rets_bias,max_copies,,,False,6
